subscription,resource_group_name,provider,resource_name,metric_name,unit,aggregation,timestamp,metric_value
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-11T04:22:00+00:00,7.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-11T05:22:00+00:00,7.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-11T06:22:00+00:00,7.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-11T07:22:00+00:00,7.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-11T08:22:00+00:00,7.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-11T09:22:00+00:00,7.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-11T10:22:00+00:00,8.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-11T11:22:00+00:00,7.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-11T12:22:00+00:00,7.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-11T13:22:00+00:00,7.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-11T14:22:00+00:00,7.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-11T15:22:00+00:00,7.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-11T16:22:00+00:00,7.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-11T17:22:00+00:00,8.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-11T18:22:00+00:00,7.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-11T19:22:00+00:00,7.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-11T20:22:00+00:00,7.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-11T21:22:00+00:00,7.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-11T22:22:00+00:00,7.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-11T23:22:00+00:00,8.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-12T00:22:00+00:00,7.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-12T01:22:00+00:00,7.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-12T02:22:00+00:00,7.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-12T03:22:00+00:00,7.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-12T04:22:00+00:00,7.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-12T05:22:00+00:00,7.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-12T06:22:00+00:00,7.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-12T07:22:00+00:00,7.0
